Player,121,123,231,213,212,1234,1213,1232,2134,2132,1212,2313,2312,121S,123S,231S,213S,212S,1234S,1213S,1232S,2134S,2132S,1212S,2313S,2312S,12S,21S,23S,Age,MP,Goals,Assists,xGp90,xAp90,ChCr,YC,RC,Tackles,Pressures,Position,Value
Rob Holding,1,24,7,18,0,7,2,5,6,2,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Petr Cech,1,13,15,15,2,12,0,2,8,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,
Kasper Schmeichel,1,8,22,15,4,3,0,3,8,2,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,1,0,,,,,,,,,,,,,
Daniel Nii Tackie Mensah Welbeck,1,7,18,8,0,4,2,1,6,2,0,0,2,4,0,0,2,0,2,0,0,1,0,0,0,0,2,2,5,,,,,,,,,,,,,
Alexandre Lacazette,1,7,24,20,8,2,2,0,5,1,0,3,3,2,2,3,1,0,1,0,0,0,0,0,1,1,0,4,4,,,,,,,,,,,,,
Aaron Ramsey,1,23,35,34,8,9,6,1,5,2,0,3,7,0,2,4,3,1,1,4,0,2,0,0,0,0,1,4,3,,,,,,,,,,,,,
Daniel Amartey,1,3,4,9,2,3,2,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Olivier Giroud,1,7,15,12,2,6,0,0,6,0,0,3,0,0,1,2,0,0,1,0,0,1,0,2,0,0,1,1,7,,,,,,,,,,,,,
Isaiah Brown,0,3,6,3,0,4,2,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,,,,,,,,,,,,,
Tomer Hemed,0,5,6,2,3,2,0,0,2,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,3,1,,,,,,,,,,,,,
Dale Stephens,1,61,46,56,5,19,20,5,31,9,2,1,4,2,4,3,4,0,3,6,2,1,1,0,0,0,3,2,4,,,,,,,,,,,,,
Solly March,1,23,30,24,8,6,2,1,20,2,2,3,4,0,0,2,1,1,2,0,0,1,0,0,1,0,1,1,6,,,,,,,,,,,,,
Bruno Saltor Grau,1,27,32,32,15,7,4,4,13,3,2,5,5,0,1,0,2,1,0,0,0,1,0,4,0,0,2,1,0,,,,,,,,,,,,,
Kevin De Bruyne,1,32,85,50,4,20,14,3,40,4,2,11,7,4,1,4,3,0,1,0,0,1,0,0,0,1,2,19,11,,,,,,,,,,,,,
Vincent Kompany,1,41,18,17,1,10,6,6,10,0,2,1,2,0,0,0,0,0,1,2,0,2,0,0,0,0,2,0,1,,,,,,,,,,,,,
John Stones,1,27,11,15,0,8,10,6,4,0,0,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,
Nicolas Hernan Otamendi,1,72,30,40,8,39,24,5,28,2,0,4,0,0,3,0,3,0,3,0,0,2,1,0,1,1,1,4,4,,,,,,,,,,,,,
Danilo Luiz da Silva,1,24,18,15,4,9,4,4,7,1,0,5,1,0,3,0,1,0,1,0,0,3,1,0,0,0,2,0,2,,,,,,,,,,,,,
David Josue Jimenez Silva,1,31,48,49,6,14,8,3,18,2,0,7,7,0,3,6,2,0,0,0,0,2,2,2,0,0,2,9,1,,,,,,,,,,,,,
Pascal Gro,1,23,50,50,11,16,2,2,13,5,2,6,4,2,1,4,4,1,1,2,0,1,0,0,0,0,2,14,4,,,,,,,,,,,,,
Markus Suttner,1,12,19,13,6,7,0,1,4,3,0,1,1,2,2,0,0,0,0,0,1,2,2,0,0,0,3,0,0,,,,,,,,,,,,,
Fernando Luiz Rosa,1,54,30,46,9,32,10,9,36,3,2,3,1,0,1,3,4,1,2,6,0,2,1,0,1,0,1,2,3,,,,,,,,,,,,,
Kyle Walker,1,42,35,40,9,23,16,8,8,8,6,3,1,0,2,2,1,1,2,0,1,3,0,0,0,0,4,5,3,,,,,,,,,,,,,
Sergio Leonel Aguero del Castillo,0,7,16,12,2,4,4,0,9,1,0,1,1,0,0,4,2,0,0,0,1,0,0,0,1,0,2,9,15,,,,,,,,,,,,,
Davy Propper,1,47,45,43,4,24,20,2,22,0,0,2,5,0,3,2,4,0,0,2,0,1,0,0,1,0,12,9,3,,,,,,,,,,,,,
Lewis Dunk,1,76,25,33,3,30,8,3,18,3,2,0,2,0,2,2,1,0,2,0,0,0,0,0,0,0,6,3,1,,,,,,,,,,,,,
Mathew Ryan,0,6,33,27,3,6,2,0,13,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,
Gabriel Fernando de Jesus,1,10,14,10,6,3,4,2,3,1,0,3,1,0,1,0,2,0,0,0,0,0,0,0,0,1,2,3,7,,,,,,,,,,,,,
Shane Duffy,1,48,32,32,4,26,4,9,10,1,2,2,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,1,4,,,,,,,,,,,,,
Ederson Santana de Moraes,0,7,13,22,2,7,6,7,14,3,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,,,,,,,,,,,,,
Jamie Murphy,0,3,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Leroy Sane,0,6,24,21,6,10,8,1,9,1,0,3,0,2,5,5,2,0,0,0,0,2,0,0,1,0,5,8,7,,,,,,,,,,,,,
Glenn Murray,1,17,30,20,6,9,0,2,8,1,2,1,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,3,8,,,,,,,,,,,,,
Raheem Shaquille Sterling,1,13,24,24,5,10,4,1,13,2,0,11,2,2,1,3,1,2,2,0,2,2,0,0,0,0,4,9,9,,,,,,,,,,,,,
Bernardo Mota Veiga de Carvalho e Silva,1,12,22,21,10,7,4,4,8,0,0,5,1,0,0,4,3,0,1,0,0,1,0,0,0,1,4,3,3,,,,,,,,,,,,,
Gary  Cahill,1,33,20,23,3,26,4,5,25,1,0,0,2,0,2,0,0,0,1,0,0,1,0,0,0,1,1,0,1,,,,,,,,,,,,,
Thibaut Courtois,1,16,18,27,4,5,2,3,17,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,,,,,,,,,,,,,
David Luiz Moreira Marinho,1,22,13,7,1,7,2,1,7,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,4,1,1,,,,,,,,,,,,,
N'Golo Kante,1,67,38,68,5,34,10,5,36,3,2,6,2,0,3,5,3,1,2,0,1,2,0,0,1,2,3,2,2,,,,,,,,,,,,,
Francesc Fabregas i Soler,1,34,65,64,6,13,10,6,37,5,0,5,0,0,7,7,9,0,0,0,0,3,1,0,1,0,4,15,7,,,,,,,,,,,,,
Antonio Rudiger,1,45,32,39,0,29,12,4,24,4,0,3,1,0,2,0,1,0,2,0,0,1,1,0,1,0,5,1,0,,,,,,,,,,,,,
Cesar Azpilicueta Tanco,1,75,62,55,12,46,24,6,33,2,0,3,5,0,6,5,4,0,4,0,2,1,0,0,0,0,9,5,1,,,,,,,,,,,,,
Willian Borges da Silva,1,17,31,18,3,7,2,2,13,2,0,2,0,4,5,8,2,2,0,0,0,1,0,0,0,1,2,6,4,,,,,,,,,,,,,
Jack Cork,1,63,20,60,8,30,8,3,30,2,4,6,8,2,6,3,5,0,4,0,0,3,1,0,1,0,8,3,0,,,,,,,,,,,,,
Stephen Ward,1,25,32,39,9,17,4,2,10,1,0,1,0,0,2,3,1,0,0,0,1,0,0,0,0,0,2,3,0,,,,,,,,,,,,,
Steven Defour,1,48,17,31,4,21,10,3,18,0,0,2,2,0,1,1,3,1,0,0,0,0,0,0,0,0,1,4,1,,,,,,,,,,,,,
Johann  Berg Gumundsson,1,25,44,27,13,8,8,2,5,1,2,4,2,2,2,1,3,0,0,2,0,1,1,0,0,0,2,8,2,,,,,,,,,,,,,
Matthew Lowton,1,21,35,22,7,12,14,1,21,2,0,3,1,0,0,4,3,1,0,0,0,1,0,0,0,0,1,2,0,,,,,,,,,,,,,
Robbie Brady,1,12,18,6,5,4,4,1,6,3,0,0,0,0,2,0,2,0,1,0,0,1,0,0,0,0,1,0,2,,,,,,,,,,,,,
James  Tarkowski,1,39,19,30,3,21,2,1,12,3,0,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,3,1,0,,,,,,,,,,,,,
Andreas Christensen,1,57,11,24,3,29,10,1,20,2,4,4,1,0,1,0,0,0,3,0,0,2,0,0,0,0,0,1,2,,,,,,,,,,,,,
Michy Batshuayi Tunga,1,7,14,12,1,1,2,0,4,1,0,2,1,0,0,1,2,0,0,0,0,0,0,0,1,0,2,1,6,,,,,,,,,,,,,
Marcos  Alonso Mendoza,1,35,33,45,10,13,4,2,22,1,0,3,6,0,2,1,2,0,4,0,0,1,2,0,0,0,5,3,8,,,,,,,,,,,,,
Tom Heaton,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jeff Hendrick,1,24,31,30,2,8,0,3,10,1,2,3,3,0,2,7,1,0,1,0,0,1,0,0,0,0,2,1,1,,,,,,,,,,,,,
Sam Vokes,0,7,8,8,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,,,,,,,,,,,,,
Ben Mee,1,40,23,32,0,19,4,3,12,1,0,2,0,0,5,1,0,0,1,0,0,1,0,0,0,0,4,1,2,,,,,,,,,,,,,
Alvaro Borja Morata Martin,1,5,26,3,3,5,0,1,5,0,0,1,1,0,2,5,1,1,1,0,0,1,0,0,1,0,2,4,10,,,,,,,,,,,,,
Scott Arfield,1,11,16,15,4,6,2,1,10,1,0,1,1,0,0,1,2,0,0,0,0,2,0,0,0,0,2,5,3,,,,,,,,,,,,,
Chris Lowe,1,12,32,14,9,3,16,2,5,4,4,1,2,0,1,0,2,0,0,2,0,0,0,0,0,0,2,1,0,,,,,,,,,,,,,
Tom Ince,1,25,19,23,8,8,4,4,10,3,2,4,3,0,1,0,3,0,0,0,0,3,0,0,2,1,4,5,10,,,,,,,,,,,,,
Joel Ward,1,18,24,23,3,8,10,2,8,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,2,0,,,,,,,,,,,,,
Ruben Loftus-Cheek,1,20,29,16,4,5,2,4,7,3,4,6,0,2,3,3,2,1,0,4,0,3,0,0,0,0,3,3,1,,,,,,,,,,,,,
Luka Milivojevic,1,59,36,72,8,21,8,7,50,0,0,3,0,1,7,0,2,0,5,2,0,1,0,0,0,0,8,1,1,,,,,,,,,,,,,
Scott Dann,1,31,13,14,5,12,10,3,7,1,2,1,2,0,1,0,1,0,2,0,0,0,0,0,0,0,3,1,1,,,,,,,,,,,,,
Jairo Riedewald,0,2,2,8,1,1,2,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,
Patrick  van Aanholt,1,31,46,34,8,18,0,2,11,0,2,2,1,0,2,1,3,0,1,0,0,1,0,0,0,0,1,1,2,,,,,,,,,,,,,
Timothy Fosu-Mensah,1,25,19,13,6,9,0,3,5,0,4,4,1,0,0,5,1,0,2,0,0,0,0,0,0,0,2,0,3,,,,,,,,,,,,,
Jason Puncheon,1,2,7,5,4,3,2,1,3,0,0,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Wayne  Hennessey,0,6,14,4,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,
Christopher Schindler,1,46,18,33,7,20,14,7,11,2,4,4,1,0,2,1,0,0,0,0,0,1,0,0,0,0,2,0,1,,,,,,,,,,,,,
Jonas Lossl,1,9,26,13,6,6,0,1,5,3,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,
Steve Mounie,1,7,17,13,1,5,2,0,8,2,0,0,1,0,1,4,0,0,1,0,0,1,0,0,0,1,0,0,14,,,,,,,,,,,,,
Mathias Jattah-Njie Jrgensen,1,67,35,29,6,26,10,4,16,4,2,2,0,0,3,0,0,0,3,0,0,0,1,0,0,0,3,3,1,,,,,,,,,,,,,
Philip Billing,1,8,5,13,4,3,6,0,7,0,2,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,
Tom Smith,1,22,30,23,7,4,2,3,8,3,0,4,2,2,2,1,5,1,2,0,0,0,0,0,0,0,2,5,1,,,,,,,,,,,,,
Aaron Mooy,1,77,67,50,15,15,10,6,19,6,8,8,5,2,2,5,0,1,2,0,1,1,1,2,0,0,6,5,2,,,,,,,,,,,,,
Kasey Palmer,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,
Wilfried Zaha,1,11,44,13,5,7,2,0,8,3,4,6,0,4,1,11,2,1,0,0,0,1,0,0,1,0,3,12,6,,,,,,,,,,,,,
Christian Benteke Liolo,1,14,13,19,3,9,0,4,7,1,2,0,0,0,1,2,2,0,0,0,0,1,0,0,0,0,2,5,8,,,,,,,,,,,,,
Elias Kachunga,1,5,15,11,6,4,0,2,4,1,2,4,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,3,2,,,,,,,,,,,,,
Andros Townsend,1,19,49,39,6,13,8,2,13,1,0,7,3,2,2,6,1,2,0,0,0,2,0,0,0,0,4,10,6,,,,,,,,,,,,,
Daniel Williams,1,9,7,16,2,10,6,1,5,0,2,2,1,0,1,1,2,0,0,0,0,0,0,0,0,0,3,0,2,,,,,,,,,,,,,
James Tomkins,1,36,9,26,2,17,4,5,8,1,2,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,
Collin Quaner,1,14,14,18,7,6,2,0,6,1,0,3,2,0,1,0,2,0,1,0,0,2,1,0,0,2,2,4,2,,,,,,,,,,,,,
Dominic Calvert-Lewin,1,11,19,12,1,5,2,0,2,1,0,2,0,4,1,2,3,0,1,0,0,1,0,0,0,0,2,3,0,,,,,,,,,,,,,
Idrissa Gana Gueye,1,46,21,55,9,19,18,6,23,6,0,3,5,0,2,1,4,1,3,0,3,1,0,0,0,0,4,3,4,,,,,,,,,,,,,
Wayne Rooney,1,31,42,43,8,7,2,1,13,3,0,7,1,2,2,1,2,0,1,0,0,1,0,0,0,0,5,7,3,,,,,,,,,,,,,
Darren  Fletcher,1,29,30,40,4,20,4,2,25,3,0,3,1,0,1,0,2,0,1,0,0,0,0,0,0,1,6,4,0,,,,,,,,,,,,,
Erik Pieters,1,31,32,32,6,18,6,0,13,1,0,3,0,0,5,1,3,0,2,4,0,1,0,0,0,0,1,5,0,,,,,,,,,,,,,
Bojan Krkic Perez,0,11,8,9,1,2,0,1,4,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,
Geoff Cameron,1,19,17,16,2,5,0,1,7,2,0,1,1,0,2,0,0,0,0,0,0,1,1,0,0,0,2,1,1,,,,,,,,,,,,,
Kurt Happy Zouma,1,48,18,30,9,10,10,4,12,1,6,0,1,0,3,1,1,0,0,0,0,1,1,0,0,1,1,1,0,,,,,,,,,,,,,
Xherdan Shaqiri,1,31,50,45,13,12,6,2,19,3,4,6,3,0,1,5,1,1,1,4,0,1,0,0,0,1,7,15,7,,,,,,,,,,,,,
Michael Keane,1,40,28,24,1,18,6,8,10,1,0,2,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,0,1,,,,,,,,,,,,,
Jordan Pickford,1,14,34,14,1,7,0,3,8,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,
Ashley Williams,1,25,13,23,1,11,2,4,6,1,0,2,2,0,2,0,1,0,0,0,1,1,0,0,0,0,0,1,0,,,,,,,,,,,,,
Phil Jagielka,1,36,25,30,5,11,6,5,8,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,,,,,,,,,,,,
Leighton Baines,1,25,26,16,4,6,2,1,11,1,0,3,2,2,1,2,2,1,1,0,0,3,0,0,0,0,2,1,1,,,,,,,,,,,,,
Morgan Schneiderlin,1,37,15,27,7,18,2,7,24,3,2,5,4,0,2,3,1,0,5,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,
Davy Klaassen,0,4,1,3,2,3,0,2,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ryan Shawcross,1,25,12,17,0,14,2,2,7,0,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0,0,1,0,2,,,,,,,,,,,,,
Joe Allen,1,70,30,50,8,32,12,4,29,0,0,0,1,0,4,6,1,0,3,2,0,3,0,0,1,0,10,4,3,,,,,,,,,,,,,
Jack Butland,0,9,30,18,1,4,0,3,7,2,0,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,
Sandro  Ramirez Castillo,1,9,11,4,6,7,0,0,3,0,0,2,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,
Mame Biram Diouf,1,8,25,24,1,7,2,0,8,2,2,2,2,0,0,3,3,0,1,0,0,3,0,0,0,0,0,4,9,,,,,,,,,,,,,
Saido Berahino,0,4,2,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,
Rhu-endly Martina,1,25,19,26,12,17,4,1,16,1,0,3,2,0,2,1,1,0,2,0,0,2,0,2,0,0,2,2,0,,,,,,,,,,,,,
Tom Davies,1,20,22,18,9,14,2,2,16,1,2,2,1,0,2,1,1,0,1,0,0,1,0,0,1,0,2,0,5,,,,,,,,,,,,,
Jean-Eric Maxim Choupo-Moting,1,21,20,26,8,9,0,1,11,1,4,3,2,0,0,3,2,0,0,0,1,0,0,0,0,0,4,5,9,,,,,,,,,,,,,
Kevin Mirallas,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Peter Crouch,1,9,20,11,3,3,2,0,5,1,0,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,4,1,2,,,,,,,,,,,,,
Edimilson Fernandes,1,13,10,9,3,3,0,1,6,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,2,0,,,,,,,,,,,,,
Arthur Masuaku,1,19,21,27,6,6,0,1,14,1,0,9,1,0,1,2,3,1,0,0,0,1,0,0,0,0,6,4,1,,,,,,,,,,,,,
Pedro  Mba Obiang Avomo,1,25,24,20,2,11,6,4,19,3,0,0,1,4,3,0,1,0,2,0,1,0,0,0,0,1,3,0,2,,,,,,,,,,,,,
Mark Noble,1,40,29,56,9,18,6,6,28,3,2,10,0,0,2,2,2,2,1,2,0,2,0,0,0,1,6,3,1,,,,,,,,,,,,,
Angelo Obinze Ogbonna,1,39,13,13,2,18,6,6,14,2,0,1,3,0,1,2,0,0,1,0,1,1,0,0,0,0,4,2,2,,,,,,,,,,,,,
Luis Antonio Valencia Mosquera,1,34,33,39,9,21,10,6,15,6,0,6,1,2,4,1,2,0,0,0,0,1,1,2,1,0,1,5,2,,,,,,,,,,,,,
Henrikh Mkhitaryan,1,21,31,32,8,9,8,2,8,5,4,3,1,0,1,2,3,1,1,0,0,3,0,0,0,0,2,7,3,,,,,,,,,,,,,
Paul Pogba,1,21,42,30,14,16,8,5,21,1,0,7,1,0,1,5,4,0,4,6,2,1,0,0,1,0,1,9,7,,,,,,,,,,,,,
Andre Ayew Pele,1,18,18,20,4,4,8,1,6,5,0,3,1,0,2,3,2,0,1,0,0,0,0,0,1,0,3,5,2,,,,,,,,,,,,,
Pablo Javier Zabaleta Girod,1,36,36,41,8,17,4,7,17,4,2,6,3,0,4,2,1,0,0,2,1,2,0,0,0,0,1,3,0,,,,,,,,,,,,,
Marko Arnautovic,1,16,35,16,5,4,0,3,1,2,6,3,1,0,0,4,1,0,0,0,0,0,0,0,1,0,2,7,8,,,,,,,,,,,,,
Eric Bertrand  Bailly,1,20,8,6,1,2,2,3,5,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,
Daley Blind,1,6,4,0,1,4,2,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,,
Phil Jones,1,33,15,26,2,18,8,4,12,2,0,3,2,0,3,0,1,0,1,0,1,0,0,0,0,0,2,0,0,,,,,,,,,,,,,
Marcus Rashford,1,7,25,14,10,5,4,0,1,0,0,5,2,0,0,1,3,1,1,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,
Nemanja Matic,1,73,37,48,9,36,12,8,40,2,0,7,4,0,7,2,2,1,0,0,0,5,0,0,0,0,11,5,2,,,,,,,,,,,,,
Juan Manuel Mata Garcia,1,28,26,34,6,8,8,1,11,4,2,4,4,2,3,2,2,1,0,0,1,2,0,2,0,0,3,3,1,,,,,,,,,,,,,
David de Gea Quintana,0,7,28,13,2,6,0,5,12,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Joe Hart,1,2,11,3,2,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
Javier Hernandez Balcazar,1,11,19,8,0,7,2,1,5,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,3,1,,,,,,,,,,,,,
Romelu Lukaku Menama,0,8,38,13,5,5,0,1,8,1,0,1,4,2,1,1,2,0,1,0,0,0,0,0,0,0,3,4,12,,,,,,,,,,,,,
Winston  Reid,1,21,11,14,0,16,6,1,7,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
Declan Rice,1,16,11,15,2,13,2,2,7,1,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Marouane Fellaini-Bakkioui,1,14,3,6,3,7,2,0,4,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,2,1,1,,,,,,,,,,,,,
Anthony Martial,0,6,13,18,9,4,6,0,6,0,0,4,2,2,1,5,1,0,2,0,0,1,0,0,1,0,2,8,5,,,,,,,,,,,,,
Aaron Cresswell,1,30,48,40,6,20,4,4,7,1,8,3,2,2,3,1,1,1,2,0,1,0,0,0,0,1,4,3,1,,,,,,,,,,,,,
Ciaran Clark,1,20,17,11,2,6,8,5,6,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,1,,,,,,,,,,,,,
Florian Lejeune,1,37,17,16,4,23,4,7,10,2,4,5,3,0,1,0,1,0,2,0,2,1,0,0,0,0,4,2,0,,,,,,,,,,,,,
Rob Elliot,0,5,15,6,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ayoze Perez Gutierrez,1,17,32,22,5,5,2,2,8,1,0,3,2,2,1,3,1,1,1,0,0,1,1,0,1,0,3,8,7,,,,,,,,,,,,,
Javier Manquillo Gaitan,1,14,15,20,4,4,12,2,4,3,0,1,0,0,1,1,2,1,1,0,0,1,0,0,0,0,2,3,0,,,,,,,,,,,,,
Matt Ritchie,1,20,36,46,7,10,6,2,14,2,0,5,3,6,1,7,4,0,2,2,0,2,0,0,0,0,6,9,5,,,,,,,,,,,,,
Moussa Sidi Yaya Dembele,1,48,25,27,5,29,6,7,30,2,4,2,3,0,9,3,2,0,2,2,2,1,0,0,0,0,4,4,2,,,,,,,,,,,,,
Eric  Dier,1,65,46,55,6,31,8,14,32,2,2,9,4,0,1,4,5,0,1,0,0,2,0,0,0,0,4,2,2,,,,,,,,,,,,,
Jan Vertonghen,1,76,43,37,6,44,4,10,27,4,0,2,1,2,5,4,6,0,5,2,0,0,0,0,0,0,7,0,2,,,,,,,,,,,,,
Hugo Lloris,1,13,15,23,3,8,4,2,17,3,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,
Toby Alderweireld,1,18,22,18,1,14,2,0,11,2,0,1,3,0,2,1,1,0,1,0,0,1,0,0,0,0,3,0,0,,,,,,,,,,,,,
Kyle Walker-Peters,0,2,3,2,1,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Christian  Atsu Twasam,1,21,17,17,3,3,4,0,5,2,0,1,1,2,3,2,1,0,1,0,0,0,0,0,0,0,6,8,4,,,,,,,,,,,,,
