,Unnamed: 0,player_id,date,market_value,position
129,4604,Matteo Ardemagni,2018-06-18,450000,attack - Centre-Forward
130,4633,Carl Valeri,2018-07-24,360000,midfield - Central Midfield
131,4650,Leonardo Gatto,2018-06-18,540000,attack - Left Winger
132,4675,Giuseppe De Luca,2018-06-18,810000,attack - Centre-Forward
133,4695,Federico Varano,2018-06-20,68000,midfield - Attacking Midfield
134,4719,Lorenzo Laverone,2018-06-18,405000,Defender - Right-Back
135,4737,Gianluca Barba,2018-06-19,270000,midfield - Central Midfield
136,4757,Marco Chiosa,2018-06-18,450000,Defender - Centre-Back
137,4782,Kevin Vinetot,2018-06-20,158000,Defender - Centre-Back
138,4825,Valerio Nava,2018-06-21,158000,Defender - Right-Back
139,4845,Simone Emmanuello,2018-06-18,540000,midfield - Central Midfield
140,4913,Antonio Palma,2018-06-20,338000,midfield - Central Midfield
141,4933,Miguel Borja,2018-05-23,4500000,attack - Centre-Forward
142,4949,Ruben Bentancourt,2018-06-08,450000,attack - Centre-Forward
143,5001,Paulinho,2018-06-18,630000,Defender - Left-Back
144,5011,Tommaso Biasci,2018-06-19,203000,attack - Second Striker
145,5028,Daniele Bartolini,2018-06-22,68000,midfield - Central Midfield
146,5048,Marco Moscati,2018-06-18,720000,midfield - Central Midfield
147,5076,Jonny Mosquera,2018-06-08,585000,midfield - Defensive Midfield
148,5107,Marco Biagianti,2018-06-21,270000,midfield - Defensive Midfield
149,5130,Andrea Luci,2018-06-19,360000,midfield - Defensive Midfield
150,5153,Antonio Meola,2018-06-21,90000,Defender - Right-Back
151,5179,Luca Belingheri,2018-06-20,225000,midfield - Attacking Midfield
152,5213,Luca Milesi,2018-06-20,180000,Defender - Centre-Back
153,5228,Andrea Tiritiello,2018-06-21,113000,Defender - Centre-Back
154,5303,Nahuel Valentini,2018-05-30,450000,Defender - Centre-Back
155,5328,Alessandro Bernardini,2018-06-18,315000,Defender - Centre-Back
156,5347,Emerson,2018-06-20,90000,Defender - Left-Back
157,5374,Nicolo Tonon,2018-06-23,45000,midfield - Central Midfield
158,5424,Alessandro Lambrughi,2018-06-20,225000,Defender - Centre-Back
159,5474,Ezechiel Ndouasel,2018-07-05,495000,attack - Centre-Forward
160,5497,Aykut Uluc,2018-07-04,45000,attack - Left Winger
161,5516,Okan Derici,2018-05-30,90000,midfield - Central Midfield
162,5560,Ishak Cakmak,2018-05-30,270000,midfield - Defensive Midfield
163,5580,Abdullah Coban,2018-07-04,23000,Defender - Left-Back
164,5616,Omer Esenkaya,2018-07-04,45000,Defender - Centre-Back
165,5630,Ahmet Sabri Fener,2018-05-30,45000,Goalkeeper
166,5689,Lars Pleidrup,2018-06-07,45000,Defender - Left-Back
167,5783,Alex Redolfi,2018-06-21,113000,Defender - Centre-Back
168,5811,Koksal Yedek,2018-07-04,23000,midfield - Attacking Midfield
169,5841,Matteo Cipriani,2018-06-26,68000,Goalkeeper
170,5882,Vitolo,2018-05-30,180000,attack - Left Winger
171,5918,Luca Zanotti,2018-06-21,135000,Goalkeeper
172,5955,Adem Alkasi,2018-05-30,45000,Defender - Right-Back
173,5990,Atilla Yildirim,2018-06-29,180000,attack - Centre-Forward
174,6009,Erol Alkan,2018-06-29,135000,Defender - Centre-Back
175,6040,Ibrahim Kas,2018-07-04,23000,Defender - Centre-Back
176,6086,Luca Mazzoni,2018-06-19,360000,Goalkeeper
177,6128,Muhammed Ali Dogan,2018-05-30,45000,midfield - Defensive Midfield
178,6165,Ettore Mendicino,2018-06-19,135000,attack - Centre-Forward
179,6185,Antonio Rozzi,2018-06-30,45000,attack - Centre-Forward
180,6199,Gonzalo Martinez,2018-06-21,45000,attack - Second Striker
181,6211,Ameth Fall,2018-06-22,90000,attack - Centre-Forward
182,6252,Edgar Cani,2018-06-28,203000,attack - Centre-Forward
183,6278,Ilyas Cakmak,2018-07-04,135000,attack - Centre-Forward
184,6291,Uche Kalu,2018-05-30,45000,attack - Centre-Forward
185,6308,Simone Corazza,2018-06-19,225000,attack - Centre-Forward
186,6327,Mattia Lombardo,2018-06-20,90000,midfield - Right Midfield
187,6340,Mehmet Ozturk,2018-06-30,45000,attack - Centre-Forward
188,6341,Mehmet Ozturk,2018-07-04,68000,attack - Centre-Forward
189,6356,Axel Gulin,2018-06-22,68000,attack - Right Winger
190,6388,Alessandro Martinelli,2018-06-18,630000,midfield - Central Midfield
191,6451,Jones Carioca,2018-05-30,90000,attack - Centre-Forward
192,6481,Fuat Golbasi,2018-07-04,90000,attack - Centre-Forward
193,6491,Giovanni Fenati,2018-06-30,23000,midfield - Central Midfield
194,6515,Gregorio Luperini,2018-06-19,203000,midfield - Central Midfield
195,6545,Serdar Ozbayraktar,2018-05-30,23000,attack - Left Winger
196,6566,Riccardo Bocalon,2018-06-18,540000,attack - Centre-Forward
197,6640,Zeki Sinanoglu,2018-05-30,23000,midfield - Defensive Midfield
198,6708,Matteo Colombi,2018-06-20,180000,attack - Centre-Forward
199,6738,Kemal Tokak,2018-07-04,23000,Defender - Centre-Back
200,6775,Ivan Kecojevic,2018-05-30,360000,Defender - Centre-Back
201,6823,Andy Polo,2018-05-02,810000,attack - Right Winger
202,6854,Ustun Bilgi,2018-07-04,68000,attack - Centre-Forward
203,6874,Huseyin Kala,2018-07-04,68000,attack - Right Winger
204,6891,Ziri Hammar,2018-05-29,248000,attack - Right Winger
205,6929,Volkan Okumak,2018-05-30,23000,attack - Left Winger
206,6994,Semir Stilic,2018-07-03,405000,midfield - Attacking Midfield
207,7044,Artem Milevskyi,2018-06-01,180000,attack - Centre-Forward
208,7073,Randall Azofeifa,2018-05-29,270000,midfield - Defensive Midfield
209,7152,Andrea Mira,2018-06-28,23000,midfield - Defensive Midfield
210,7166,Simone Pasa,2018-06-18,630000,midfield - Defensive Midfield
211,7189,Andelko Savic,2018-07-12,135000,attack - Centre-Forward
212,7240,Lorenzo Paramatti,2018-06-19,90000,Defender - Centre-Back
213,7254,Andrea Corsini,2018-06-26,45000,midfield - Attacking Midfield
214,7276,Lukas Spendlhofer,2018-06-14,1130000,Defender - Centre-Back
215,7329,Luca Maniero,2018-06-18,45000,Goalkeeper
216,7368,Simone Solinas,2018-06-22,23000,midfield - Attacking Midfield
217,7383,Alessandro Masia,2018-06-28,23000,midfield - Attacking Midfield
218,7400,Andrea Demontis,2018-06-28,45000,midfield - Right Midfield
219,7427,Alessandro Bastrini,2018-06-20,113000,Defender - Centre-Back
220,7444,Gianluca Sampietro,2018-06-20,90000,midfield - Central Midfield
221,7464,Giovanni Zaro,2018-06-23,113000,Defender - Centre-Back
222,7523,Vedran Celjak,2018-06-19,158000,Defender - Right-Back
223,7547,Edoardo Blondett,2018-06-21,180000,Defender - Centre-Back
224,7562,Tufan Kelleci,2018-07-04,90000,Defender - Right-Back
225,7582,Simone Dejori,2018-06-22,45000,Defender - Left-Back
226,7605,Zsolt Laczko,2018-06-27,135000,Defender - Left-Back
227,7612,Muhammet Kalkan,2018-07-04,23000,attack - Right Winger
228,7626,Luca Piana,2018-06-21,90000,Defender - Centre-Back
229,7691,David Depetris,2018-05-08,203000,attack - Centre-Forward
230,7717,Cumhur Yilmazturk,2018-07-04,90000,midfield - Defensive Midfield
231,7736,Cenk Guvenc,2018-05-30,90000,Defender - Centre-Back
232,7744,Yunus Emre Kirdal,2018-07-04,23000,Goalkeeper
233,7778,Emiliano Tortolano,2018-06-28,135000,attack - Right Winger
234,7797,Maks Barisic,2018-06-21,180000,attack - Right Winger
235,7829,Florin Cernat,2018-06-14,90000,midfield - Attacking Midfield
236,7840,Fabio Aveni,2018-06-30,45000,attack - Left Winger
237,7876,Mariusz Pawelek,2018-07-03,90000,Goalkeeper
238,7926,Fabio Sciacca,2018-06-30,23000,midfield - Central Midfield
239,7945,Federico Moretti,2018-06-18,270000,midfield - Central Midfield
240,7965,Davide Gavazzi,2018-06-18,405000,midfield - Central Midfield
241,8003,Ousmane Diop,2018-06-29,68000,midfield - Defensive Midfield
242,8066,Pablo Alvarez,2018-05-08,270000,Defender - Right-Back
243,8107,Simone Brugaletta,2018-06-30,68000,Defender - Centre-Back
244,8135,Fabian Rinaudo,2018-05-08,675000,midfield - Defensive Midfield
245,8159,Erick Cabalceta,2018-05-29,135000,Defender - Centre-Back
246,8172,Dragan Lovric,2018-06-19,45000,Defender - Centre-Back
247,8199,Ciro Capuano,2018-06-19,90000,Defender - Centre-Back
248,8210,Gennaro Acampora,2018-06-18,540000,midfield - Central Midfield
249,8248,Ruben Olivera,2018-06-28,90000,midfield - Central Midfield
250,8294,Fabian Monzon,2018-06-03,540000,Defender - Left-Back
251,8313,Sergio Garufi,2018-06-21,90000,midfield - Central Midfield
252,8332,Filip Jankovic,2018-06-30,45000,midfield - Central Midfield
253,8356,Jaime Valdes,2018-06-03,315000,midfield - Central Midfield
254,8371,Dembel Sall,2018-06-25,90000,Defender - Centre-Back
255,8398,Lazar Petkovic,2018-06-19,135000,Goalkeeper
256,8433,Saverio Madrigali,2018-07-01,68000,Defender - Centre-Back
257,8469,Giuseppe Capua,2018-06-29,23000,midfield - Central Midfield
258,8523,Gianluca Pollace,2018-06-21,90000,Defender - Right-Back
259,8553,Luca Crescenzi,2018-06-20,135000,Defender - Centre-Back
260,8554,Luca Crescenzi,2018-07-12,135000,Defender - Centre-Back
261,8606,Andrea Sbraga,2018-06-19,248000,Defender - Centre-Back
262,8663,Emre Torun,2018-07-04,45000,attack - Centre-Forward
263,8696,Sinan Kurumus,2018-07-04,180000,attack - Centre-Forward
264,8709,Mertcan Aktas,2018-07-04,23000,attack - Left Winger
265,8712,Metincan Cici,2018-07-04,45000,attack - Left Winger
266,8750,Kris Jogan,2018-06-25,68000,attack - Centre-Forward
267,8769,Nicola Ferrari,2018-06-20,68000,attack - Centre-Forward
268,8793,Alessio Luciani,2018-06-19,180000,Defender - Right-Back
269,8815,Filippo Scardina,2018-06-21,135000,attack - Centre-Forward
270,8834,Alexis Ferrante,2018-06-19,270000,attack - Centre-Forward
271,8922,Aykut Ozturk,2018-06-08,135000,attack - Centre-Forward
272,8974,Abdulkadir Ozgen,2018-05-30,180000,attack - Centre-Forward
273,8986,Niyazi Salman,2018-07-04,68000,attack - Right Winger
274,9040,Timur Ozgoz,2018-07-04,90000,midfield - Attacking Midfield
275,9063,Ibrahim Surgulu,2018-07-04,45000,Defender - Centre-Back
276,9077,Gianluca Rizzitelli,2018-06-25,23000,attack - Centre-Forward
277,9179,Giammario Piscitella,2018-06-19,135000,attack - Left Winger
278,9197,Simone Battaglia,2018-06-28,45000,midfield - Central Midfield
279,9223,Michael Bradley,2018-05-02,2700000,midfield - Central Midfield
280,9250,Milan Borjan,2018-07-02,1980000,Goalkeeper
281,9273,Matteo Ricci,2018-06-18,630000,midfield - Defensive Midfield
282,9311,Paolo Frascatore,2018-06-20,270000,Defender - Left-Back
283,9350,Michel Bastos,2018-05-23,1580000,midfield - Left Midfield
284,9359,Francesco Proietti Gaffi,2018-06-28,23000,Goalkeeper
285,9408,Haydar Deniz,2018-07-04,45000,midfield - Central Midfield
286,9424,Mihai Balasa,2018-06-14,1350000,Defender - Centre-Back
287,9469,Yusuf Gultekin,2018-05-30,225000,midfield - Central Midfield
288,9495,Sahin Aygunes,2018-06-19,180000,attack - Left Winger
289,9504,Mert Goktepe,2018-07-04,45000,Goalkeeper
290,9554,Dino Martinovic,2018-07-01,158000,attack - Left Winger
291,9593,Andrea Cocco,2018-06-18,180000,attack - Centre-Forward
292,9613,David Speziale,2018-06-25,68000,midfield - Attacking Midfield
293,9631,Pasquale De Vita,2018-06-23,68000,midfield - Attacking Midfield
294,9668,Fatih Kiran,2018-07-04,23000,attack - Right Winger
295,9711,Marco Donadel,2018-05-02,180000,midfield - Defensive Midfield
296,9729,Filippo De Col,2018-06-18,810000,Defender - Right-Back
297,9754,Gennaro Esposito,2018-06-29,45000,midfield - Defensive Midfield
298,9775,Ivan Pillud,2018-05-08,540000,Defender - Right-Back
299,9818,Daniele Borra,2018-06-19,158000,Goalkeeper
300,9890,Mehmet Cicek,2018-07-04,135000,Defender - Centre-Back
301,9957,Kadir Ari,2018-07-04,45000,attack - Left Winger
302,9969,Koray Yildiz,2018-07-04,23000,Defender - Left-Back
303,9980,Okan Deniz,2018-07-04,68000,attack - Left Winger
304,10012,Emre Pehlivan,2018-07-04,45000,midfield - Attacking Midfield
305,10050,Abdulaziz Solmaz,2018-05-30,45000,attack - Left Winger
306,10066,Bekir Sevgi,2018-07-04,45000,Goalkeeper
307,10117,Ezequiel Cirigliano,2018-05-24,270000,midfield - Defensive Midfield
308,10138,Okan Aydin,2018-06-08,203000,midfield - Attacking Midfield
309,10175,Gokhan Koseoglu,2018-06-30,68000,Defender - Centre-Back
310,10182,Serdar Yazici,2018-07-04,45000,Defender - Centre-Back
311,10197,Mahmut Boz,2018-07-04,68000,Defender - Centre-Back
312,10214,Harallamb Qaqi,2018-06-28,270000,Defender - Centre-Back
313,10294,Abdurrahman Kuyucu,2018-07-04,23000,attack - Right Winger
314,10299,Yigit Yoney,2018-07-04,45000,Defender - Left-Back
315,10310,Ramazan Cevik,2018-07-04,45000,attack - Left Winger
316,10321,Gokhan Siverek,2018-05-30,23000,Goalkeeper
317,10338,Huseyin Atalay,2018-07-04,23000,midfield - Central Midfield
318,10424,Sammy Ndjock,2018-07-06,180000,Goalkeeper
319,10449,Pablo Granoche,2018-06-18,270000,attack - Centre-Forward
320,10506,Milan Baros,2018-07-14,270000,attack - Centre-Forward
321,10525,Radoslav Kirilov,2018-07-10,225000,attack - Left Winger
322,10546,Juri Cisotti,2018-06-18,90000,attack - Left Winger
323,10567,Alessandro Sbaffo,2018-06-20,315000,midfield - Attacking Midfield
324,10617,Adrian Calello,2018-05-08,270000,midfield - Defensive Midfield
325,10637,Amedeo Benedetti,2018-06-18,540000,Defender - Left-Back
326,10691,Simone Aldrovandi,2018-06-24,68000,Defender - Centre-Back
327,10717,Alessandro Bassoli,2018-06-20,158000,Defender - Centre-Back
328,10740,Lucas Finazzi,2018-06-20,68000,midfield - Central Midfield
329,10769,Jacopo Coletta,2018-06-21,23000,Goalkeeper
330,10798,Matteo Rubin,2018-06-18,225000,Defender - Left-Back
331,10833,Simone Moschin,2018-06-19,158000,Goalkeeper
332,10849,Idriz Toskic,2018-06-21,113000,midfield - Central Midfield
333,10885,Hannes Anier,2018-06-07,45000,attack - Centre-Forward
334,10920,Marc Janko,2018-07-12,450000,attack - Centre-Forward
335,10967,Sergio Viotti,2018-07-01,90000,Goalkeeper
336,10982,Fanendo Adi,2018-05-02,1800000,attack - Centre-Forward
337,11027,Mert Nobre,2018-05-30,45000,attack - Centre-Forward
338,11044,Davide Bariti,2018-06-20,135000,attack - Right Winger
339,11132,Pablo Mouche,2018-05-08,900000,attack - Left Winger
340,11155,Yener Arica,2018-05-30,68000,midfield - Attacking Midfield
341,11189,Luca Iotti,2018-06-19,113000,Defender - Centre-Back
342,11210,Bilal Gulden,2018-07-04,68000,midfield - Defensive Midfield
343,11351,Nurettin Kayaoglu,2018-07-04,68000,attack - Left Winger
344,11670,Jakub Podany,2018-07-14,315000,Defender - Left-Back
345,11757,Matteo Gerbaudo,2018-06-19,113000,midfield - Central Midfield
346,11801,Gianmarco Vannucchi,2018-06-19,203000,Goalkeeper
347,11815,Sergio Molina,2018-06-30,45000,midfield - Attacking Midfield
348,11904,Leonardo Citti,2018-06-26,23000,Goalkeeper
349,12016,Kristian Andersen,2018-06-07,225000,midfield - Left Midfield
350,12059,Daniel Norouzi,2018-06-02,90000,midfield - Defensive Midfield
351,12153,Christian Bolanos,2018-05-29,338000,attack - Right Winger
352,12323,Mark Kongstedt,2018-06-07,135000,midfield - Central Midfield
353,12337,Daniele Grandi,2018-06-22,23000,attack - Centre-Forward
354,12415,Adrian Balboa,2018-05-08,675000,attack - Centre-Forward
355,12665,Hakan Redzep,2018-06-07,135000,midfield - Central Midfield
356,12688,Nicolai Johannesen,2018-06-02,180000,Defender - Left-Back
357,12701,Jannich Storch,2018-06-07,45000,Goalkeeper
358,12803,Juan Pablo Caffa,2018-07-11,158000,midfield - Left Midfield
359,12861,Dani Hernandez,2018-05-30,720000,Goalkeeper
360,12955,Dimitrios Popovits,2018-07-15,90000,attack - Left Winger
361,13018,Valdo,2018-05-30,45000,attack - Right Winger
362,13094,Asger Sorensen,2018-06-19,540000,Defender - Centre-Back
363,13126,Albi Alla,2018-06-28,315000,Defender - Centre-Back
364,13193,Vladimir Stojkovic,2018-07-02,675000,Goalkeeper
365,13261,Luca Veratti,2018-06-24,23000,attack - Centre-Forward
366,13283,Manuel Gavilan,2018-05-30,180000,attack - Centre-Forward
367,13366,Riccardo Pasi,2018-06-24,45000,midfield - Attacking Midfield
368,13379,Gianluca Draghetti,2018-06-23,45000,midfield - Attacking Midfield
369,13407,Emiljano Vila,2018-06-28,158000,midfield - Attacking Midfield
370,13423,Nicola Pescatore,2018-06-25,23000,midfield - Right Midfield
371,13474,Alessandro Marchi,2018-06-20,135000,midfield - Central Midfield
372,13500,Davide Moscardelli,2018-06-19,135000,attack - Centre-Forward
373,13522,Marti Riverola,2018-06-20,158000,midfield - Central Midfield
374,13546,Federico Casarini,2018-06-18,630000,midfield - Central Midfield
375,13563,Riccardo Casini,2018-06-19,180000,midfield - Defensive Midfield
376,13612,Ibson,2018-05-02,360000,midfield - Central Midfield
377,13629,Mathias Abero,2018-05-08,180000,Defender - Left-Back
378,13660,Angelo Gregorio,2018-06-25,45000,Defender - Centre-Back
379,13679,Matteo Boccaccini,2018-06-25,113000,Defender - Centre-Back
380,13697,Marco Maini,2018-06-20,203000,Defender - Centre-Back
381,13720,Matteo Malagoli,2018-06-25,23000,Goalkeeper
382,13757,Andrea Mantovani,2018-06-18,135000,Defender - Centre-Back
383,13771,Giacomo Venturi,2018-06-20,180000,Goalkeeper
384,13799,Frederic Nimani,2018-07-12,180000,attack - Centre-Forward
385,13850,Michael Hoyos,2018-07-20,450000,attack - Right Winger
386,13944,Nery Bareiro,2018-05-23,225000,Defender - Centre-Back
387,13971,Francesco Bergamini,2018-06-20,45000,midfield - Central Midfield
388,13999,Dudu Cearense,2018-05-23,360000,midfield - Central Midfield
389,14015,Vladimir Weiss,2018-05-09,2250000,attack - Left Winger
390,14186,Clint Dempsey,2018-05-02,900000,attack - Second Striker
391,14300,Ange Freddy Plumain,2018-05-16,270000,attack - Left Winger
392,14484,Elsad Zverotic,2018-07-12,158000,midfield - Defensive Midfield
393,14605,Roland Lamah,2018-05-02,1130000,attack - Left Winger
394,14626,Kyle De Silva,2018-06-29,113000,midfield - Left Midfield
395,14762,Fabian Stoller,2018-07-10,90000,midfield - Defensive Midfield
396,14901,Goran Popov,2018-05-26,135000,Defender - Left-Back
397,14957,Liam Ridgewell,2018-05-02,720000,Defender - Centre-Back
